,code,name,c_name,market
0,600099,林海股份,摩托车,sh
1,600877,ST嘉陵,摩托车,sh
2,601777,力帆股份,摩托车,sh
3,603766,隆鑫通用,摩托车,sh
4,000913,钱江摩托,摩托车,sz
5,001696,宗申动力,摩托车,sz
6,600069,银鸽投资,造纸行业,sh
7,600103,青山纸业,造纸行业,sh
8,600163,中闽能源,造纸行业,sh
9,600235,民丰特纸,造纸行业,sh
10,600308,华泰股份,造纸行业,sh
11,600356,恒丰纸业,造纸行业,sh
12,600433,冠豪高新,造纸行业,sh
13,600462,九有股份,造纸行业,sh
14,600567,山鹰纸业,造纸行业,sh
15,600793,宜宾纸业,造纸行业,sh
16,600963,岳阳林纸,造纸行业,sh
17,600966,博汇纸业,造纸行业,sh
18,000488,晨鸣纸业,造纸行业,sz
19,000815,美利云,造纸行业,sz
20,000820,神雾节能,造纸行业,sz
21,000833,贵糖股份,造纸行业,sz
22,002012,凯恩股份,造纸行业,sz
23,002067,景兴纸业,造纸行业,sz
24,002078,太阳纸业,造纸行业,sz
25,002235,安妮股份,造纸行业,sz
26,002303,美盈森,造纸行业,sz
27,002511,中顺洁柔,造纸行业,sz
28,002521,齐峰新材,造纸行业,sz
29,002565,顺灏股份,造纸行业,sz
30,600145,*ST新亿,陶瓷行业,sh
31,600286,S*ST国瓷,陶瓷行业,sh
32,603268,松发股份,陶瓷行业,sh
33,002102,冠福股份,陶瓷行业,sz
34,002162,悦心健康,陶瓷行业,sz
35,300089,文化长城,陶瓷行业,sz
36,300234,开尔新材,陶瓷行业,sz
37,300409,道氏技术,陶瓷行业,sz
38,600210,紫江企业,印刷包装,sh
39,600836,界龙实业,印刷包装,sh
40,600880,XD博瑞传,印刷包装,sh
41,601515,东风股份,印刷包装,sh
42,603729,龙韵股份,印刷包装,sh
43,000659,珠海中富,印刷包装,sz
44,000673,当代东方,印刷包装,sz
45,000812,陕西金叶,印刷包装,sz
46,002117,东港股份,印刷包装,sz
47,002191,劲嘉股份,印刷包装,sz
48,002228,合兴包装,印刷包装,sz
49,002229,鸿博股份,印刷包装,sz
50,002374,丽鹏股份,印刷包装,sz
51,002400,省广集团,印刷包装,sz
52,002599,盛通股份,印刷包装,sz
53,002701,奥瑞金,印刷包装,sz
54,002752,昇兴股份,印刷包装,sz
55,300057,万顺股份,印刷包装,sz
56,300058,蓝色光标,印刷包装,sz
57,300071,华谊嘉信,印刷包装,sz
58,600065,*ST联谊,其它行业,sh
59,600092,S*ST精密,其它行业,sh
60,600172,黄河旋风,其它行业,sh
61,600516,方大炭素,其它行业,sh
62,600607,上实医药,其它行业,sh
63,600625,PT水仙,其它行业,sh
64,600670,*ST斯达,其它行业,sh
65,600700,*ST数码,其它行业,sh
66,600709,ST生态,其它行业,sh
67,600752,*ST哈慈,其它行业,sh
68,600783,鲁信创投,其它行业,sh
69,600788,*ST达曼,其它行业,sh
70,600813,ST鞍一工,其它行业,sh
71,600849,上药转换,其它行业,sh
72,600852,*ST中川,其它行业,sh
73,600899,*ST信联,其它行业,sh
74,603022,新通联,其它行业,sh
75,603023,威帝股份,其它行业,sh
76,603026,石大胜华,其它行业,sh
77,603108,润达医疗,其它行业,sh
78,603116,红蜻蜓,其它行业,sh
79,603198,迎驾贡酒,其它行业,sh
80,603227,雪峰科技,其它行业,sh
81,603300,华铁科技,其它行业,sh
82,603311,金海环境,其它行业,sh
83,603566,普莱柯,其它行业,sh
84,603568,伟明环保,其它行业,sh
85,603598,引力传媒,其它行业,sh
86,603669,灵康药业,其它行业,sh
87,603688,石英股份,其它行业,sh
88,603718,海利生物,其它行业,sh
89,603885,吉祥航空,其它行业,sh
90,603901,永创智能,其它行业,sh
91,603918,金桥信息,其它行业,sh
92,603968,醋化股份,其它行业,sh
93,603989,艾华集团,其它行业,sh
94,900901,云赛Ｂ股,其它行业,sh
95,900902,市北B股,其它行业,sh
96,900903,大众Ｂ股,其它行业,sh
97,900904,神奇B股,其它行业,sh
98,900905,老凤祥Ｂ,其它行业,sh
99,900906,*ST毅达B,其它行业,sh
100,900907,鹏起Ｂ股,其它行业,sh
101,900908,氯碱Ｂ股,其它行业,sh
102,900909,华谊B股,其它行业,sh
103,900910,海立Ｂ股,其它行业,sh
104,900911,金桥Ｂ股,其它行业,sh
105,900912,外高Ｂ股,其它行业,sh
106,900913,国新B股,其它行业,sh
107,900914,锦投Ｂ股,其它行业,sh
108,900915,中路Ｂ股,其它行业,sh
109,900916,凤凰B股,其它行业,sh
110,900917,海欣Ｂ股,其它行业,sh
111,900918,耀皮Ｂ股,其它行业,sh
112,900919,绿庭B股,其它行业,sh
113,900920,上柴Ｂ股,其它行业,sh
114,900921,丹科B股,其它行业,sh
115,900922,三毛B股,其它行业,sh
116,900923,百联Ｂ股,其它行业,sh
117,900924,上工Ｂ股,其它行业,sh
118,900925,机电Ｂ股,其它行业,sh
119,900926,宝信Ｂ,其它行业,sh
120,900927,物贸Ｂ股,其它行业,sh
121,900928,临港B股,其它行业,sh
122,900929,锦旅Ｂ股,其它行业,sh
123,900930,*ST沪普B,其它行业,sh
124,900932,陆家Ｂ股,其它行业,sh
125,900933,华新Ｂ股,其它行业,sh
126,900934,锦江Ｂ股,其它行业,sh
127,900935,阳晨Ｂ股,其它行业,sh
128,900936,鄂资Ｂ股,其它行业,sh
129,900937,华电Ｂ股,其它行业,sh
130,900938,海科B,其它行业,sh
131,900939,汇丽B,其它行业,sh
132,900940,大名城B,其它行业,sh
133,900941,东信Ｂ股,其它行业,sh
134,900942,黄山Ｂ股,其它行业,sh
135,900943,开开Ｂ股,其它行业,sh
136,900945,海控Ｂ股,其它行业,sh
137,900946,天雁B股,其它行业,sh
138,900947,振华Ｂ股,其它行业,sh
139,900948,伊泰Ｂ股,其它行业,sh
140,900951,大化B股,其它行业,sh
141,900952,锦港Ｂ股,其它行业,sh
142,900953,凯马Ｂ,其它行业,sh
143,900955,海创B股,其它行业,sh
144,900956,东贝Ｂ股,其它行业,sh
145,900957,凌云Ｂ股,其它行业,sh
146,000003,PT金田A,其它行业,sz
147,000013,*ST石化A,其它行业,sz
148,000015,PT中浩A,其它行业,sz
149,000047,ST中侨,其它行业,sz
150,000405,ST鑫光,其它行业,sz
151,000511,烯碳退,其它行业,sz
152,000556,PT南洋,其它行业,sz
153,000583,S*ST托普,其它行业,sz
154,000658,ST海洋,其它行业,sz
155,000660,*ST南华,其它行业,sz
156,000675,ST银山,其它行业,sz
157,000689,ST宏业,其它行业,sz
158,600121,郑州煤电,煤炭行业,sh
159,600123,兰花科创,煤炭行业,sh
160,600157,永泰能源,煤炭行业,sh
161,600179,安通控股,煤炭行业,sh
162,600188,兖州煤业,煤炭行业,sh
163,600348,阳泉煤业,煤炭行业,sh
164,600381,青海春天,煤炭行业,sh
165,600395,盘江股份,煤炭行业,sh
166,600397,*ST安煤,煤炭行业,sh
167,600403,大有能源,煤炭行业,sh
168,600408,*ST安泰,煤炭行业,sh
169,600508,上海能源,煤炭行业,sh
170,600546,山煤国际,煤炭行业,sh
171,600652,游久游戏,煤炭行业,sh
172,600714,金瑞矿业,煤炭行业,sh
173,600721,百花村,煤炭行业,sh
174,600725,ST云维,煤炭行业,sh
175,600740,山西焦化,煤炭行业,sh
176,600792,云煤能源,煤炭行业,sh
177,600971,恒源煤电,煤炭行业,sh
178,600997,开滦股份,煤炭行业,sh
179,601001,大同煤业,煤炭行业,sh
180,601011,宝泰隆,煤炭行业,sh
181,601015,陕西黑猫,煤炭行业,sh
182,601088,中国神华,煤炭行业,sh
183,601101,XD昊华能,煤炭行业,sh
184,601225,陕西煤业,煤炭行业,sh
185,601666,平煤股份,煤炭行业,sh
186,601699,潞安环能,煤炭行业,sh
187,601898,中煤能源,煤炭行业,sh
188,601918,新集能源,煤炭行业,sh
189,000034,神州数码,煤炭行业,sz
190,000552,靖远煤电,煤炭行业,sz
191,000571,新大洲Ａ,煤炭行业,sz
192,000723,美锦能源,煤炭行业,sz
193,000780,平庄能源,煤炭行业,sz
194,000933,神火股份,煤炭行业,sz
195,000937,冀中能源,煤炭行业,sz
196,000968,蓝焰控股,煤炭行业,sz
197,000983,西山煤电,煤炭行业,sz
198,002128,露天煤业,煤炭行业,sz
199,600075,新疆天业,化工行业,sh
200,600078,澄星股份,化工行业,sh
201,600091,ST明科,化工行业,sh
202,600135,乐凯胶片,化工行业,sh
203,600141,兴发集团,化工行业,sh
204,600155,华创阳安,化工行业,sh
205,600160,巨化股份,化工行业,sh
206,600228,ST昌九,化工行业,sh
207,600229,城市传媒,化工行业,sh
208,600249,两面针,化工行业,sh
209,600273,嘉化能源,化工行业,sh
210,600277,亿利洁能,化工行业,sh
